Eastern Conference
▲	W	L	W/L%	GB	PS/G	PA/G	SRS
Atlanta Hawks*	44	38	.537	14.0	95.0	95.8	-1.10
Boston Celtics*	56	26	.683	—	96.5	91.1	4.83
Charlotte Bobcats	34	48	.415	24.0	93.3	97.3	-4.08
Chicago Bulls*	62	20	.756	—	98.6	91.3	6.53
Cleveland Cavaliers	19	63	.232	43.0	95.5	104.5	-8.88
Detroit Pistons	30	52	.366	32.0	97.0	100.6	-3.78
Indiana Pacers*	37	45	.451	25.0	99.8	100.9	-1.38
Miami Heat*	58	24	.707	—	102.1	94.6	6.76
Milwaukee Bucks	35	47	.427	27.0	91.9	92.7	-1.02
New Jersey Nets	24	58	.293	32.0	94.2	100.4	-6.28
New York Knicks*	42	40	.512	14.0	106.5	105.7	0.48
Orlando Magic*	52	30	.634	6.0	99.2	93.7	4.92
Philadelphia 76ers*	41	41	.500	15.0	99.0	97.5	1.01
Toronto Raptors	22	60	.268	34.0	99.1	105.4	-6.28
Washington Wizards	23	59	.280	35.0	97.3	104.7	-7.
