Playoff Series 
Finals	Dallas Mavericks over Miami Heat  (4-2)	Series Stats
Eastern Conference Finals	Miami Heat over Chicago Bulls  (4-1)	Series Stats
Western Conference Finals	Dallas Mavericks over Oklahoma City Thunder  (4-1)	Series Stats
Eastern Conference Semifinals	Chicago Bulls over Atlanta Hawks  (4-2)	Series Stats
Eastern Conference Semifinals	Miami Heat over Boston Celtics  (4-1)	Series Stats
Western Conference Semifinals	Dallas Mavericks over Los Angeles Lakers  (4-0)	Series Stats
Western Conference Semifinals	Oklahoma City Thunder over Memphis Grizzlies  (4-3)	Series Stats
Eastern Conference First Round	Atlanta Hawks over Orlando Magic  (4-2)	Series Stats
Eastern Conference First Round	Boston Celtics over New York Knicks  (4-0)	Series Stats
Eastern Conference First Round	Chicago Bulls over Indiana Pacers  (4-1)	Series Stats
Eastern Conference First Round	Miami Heat over Philadelphia 76ers  (4-1)	Series Stats
Western Conference First Round	Dallas Mavericks over Portland Trail Blazers  (4-2)	Series Stats
Western Conference First Round	Los Angeles Lakers over New Orleans Hornets  (4-2)	Series Stats
Western Conference First Round	Memphis Grizzlies over San Antonio Spurs  (4-2)	Series Stats
Western Conference First Round	Oklahoma City Thunder over Denver Nuggets  (4-1)	Series Stats
